Channel ,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
Myntra,JNE1233-BLUE-KR-031-XXL,kurta,XXL,1,INR,376,MOHALI,PUNJAB,140301,IN,FALSE
Ajio,SET414-KR-NP-L,Set,L,1,INR,1449,GURUGRAM,HARYANA,122002,IN,FALSE
Myntra,SET261-KR-PP-S,Set,S,1,INR,453,KOLKATA,WEST BENGAL,700029,IN,FALSE
Amazon,SET110-KR-PP-M,Set,M,1,INR,729,THANJAVUR,TAMIL NADU,613007,IN,FALSE
Myntra,JNE2294-KR-A-XXL,kurta,XXL,1,INR,544,GURUGRAM,HARYANA,122001,IN,FALSE
Flipkart,JNE3797-KR-XXL,Western Dress,XXL,1,INR,735,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416436,IN,FALSE
Meesho,JNE3801-KR-XXL,kurta,XXL,1,INR,735,BENGALURU,KARNATAKA,560029,IN,FALSE
Others,JNE3405-KR-M,kurta,M,1,INR,435,GURUGRAM,HARYANA,122001,IN,FALSE
Amazon,JNE3474-KR-E-XL,kurta,XL,1,INR,385,BENGALURU,KARNATAKA,562149,IN,FALSE
Myntra,JNE3466-KR-L,kurta,L,1,INR,771,VIJAYAWADA,ANDHRA PRADESH,520002,IN,FALSE
Amazon,JNE3795-KR-S,kurta,S,1,INR,517,THIRUVANANTHAPURAM,KERALA,695018,IN,FALSE
Myntra,J0181-TP-M,Top,M,1,INR,399,ARAKONAM,TAMIL NADU,631003,IN,FALSE
Amazon,SET217-KR-PP-XL,Set,XL,1,INR,786,GUWAHATI,ASSAM,781017,IN,FALSE
Myntra,SET185-KR-NP-M,Set,M,1,INR,911,BENGALURU,KARNATAKA,562125,IN,FALSE
Amazon,SET333-KR-DPT-M,Set,M,1,INR,967,HYDERABAD,TELANGANA,500098,IN,FALSE
Nalli,J0124-TP-L,Top,L,1,INR,523,NEW DELHI,DELHI,110062,IN,FALSE
Meesho,SET304-KR-DPT-XL,Set,XL,1,INR,1115,Bhubaneswar,ODISHA,751022,IN,FALSE
Others,SET184-KR-PP-XS,Set,XS,1,INR,563,SIROHI,RAJASTHAN,307001,IN,FALSE
Myntra,J0161-DR-XXL,Western Dress,XXL,1,INR,473,MUMBAI,MAHARASHTRA,400097,IN,FALSE
Amazon,SET233-KR-PP-M,Set,M,1,INR,545,AMRITSAR,PUNJAB,143001,IN,FALSE
Nalli,J0231-SKD-XXXL,Set,3XL,1,INR,1164,LUCKNOW,UTTAR PRADESH,226024,IN,FALSE
Myntra,J0339-DR-XXL,Western Dress,XXL,1,INR,743,NEW DELHI,DELHI,110087,IN,FALSE
Myntra,SET210-KR-PP-XXXL,Set,3XL,1,INR,575,MADURAI,TAMIL NADU,625014,IN,FALSE
Ajio,SET110-KR-PP-XS,Set,XS,1,INR,788,Meerut,UTTAR PRADESH,250002,IN,FALSE
Amazon,SET273-KR-NP-M,Set,M,1,INR,612,HYDERABAD,TELANGANA,500060,IN,FALSE
Others,MEN5025-KR-XXL,kurta,XXL,1,INR,533,INDORE,MADHYA PRADESH,452014,IN,FALSE
Flipkart,JNE3690-TU-XL,Top,XL,1,INR,484,DAVANAGERE,KARNATAKA,577004,IN,FALSE
Flipkart,SET184-KR-PP-XXXL,Set,3XL,1,INR,563,RUDRAPUR,UTTARAKHAND,263153,IN,FALSE
Flipkart,JNE3797-KR-XXL,Western Dress,XXL,1,INR,735,CHENNAI,TAMIL NADU,600103,IN,FALSE
Amazon,SET183-KR-DH-XS,Set,XS,1,INR,759,PRAYAGRAJ,UTTAR PRADESH,230304,IN,FALSE
Amazon,JNE3797-KR-XXL,Western Dress,XXL,1,INR,715,GREAT NICOBAR,ANDAMAN & NICOBAR ,744302,IN,FALSE
Amazon,J0414-DR-XXL,Western Dress,XXL,1,INR,885,AHMEDABAD,GUJARAT,380058,IN,FALSE
Others,JNE3601-KR-M,kurta,M,1,INR,301,SALEM,TAMIL NADU,636007,IN,FALSE
Myntra,J0231-SKD-XL,Set,XL,1,INR,1238,GUWAHATI,ASSAM,781020,IN,FALSE
Amazon,SET320-KR-NP-S,Set,S,1,INR,856,CHENNAI,TAMIL NADU,600119,IN,FALSE
Flipkart,J0351-SET-L,Set,L,1,INR,650,VADODARA,GUJARAT,390021,IN,FALSE
Amazon,JNE3368-KR-XL,kurta,XL,1,INR,449,Payyannur,KERALA,670309,IN,FALSE
Myntra,SET333-KR-DPT-XS,Set,XS,1,INR,967,CHANDIGARH,CHANDIGARH,160036,IN,FALSE
Amazon,JNE3423-KR-XL,kurta,XL,1,INR,399,GURUGRAM,HARYANA,122001,IN,FALSE
Flipkart,J0230-SKD-M,Set,M,1,INR,969,MOHALI,PUNJAB,160062,IN,FALSE
Flipkart,J0159-DR-L,Western Dress,L,1,INR,599,BENGALURU,KARNATAKA,560061,IN,FALSE
Amazon,J0334-TP-S,Top,S,1,INR,545,PUNE,MAHARASHTRA,411051,IN,FALSE
Myntra,SET397-KR-NP-XS,Set,XS,1,INR,1115,PUNE,MAHARASHTRA,412207,IN,FALSE
Meesho,SET389-KR-NP-XL,Set,XL,1,INR,648,SONIPAT,HARYANA,131001,IN,FALSE
Flipkart,J0248-KR-DPT-S,Set,S,1,INR,999,NELLORE,ANDHRA PRADESH,524002,IN,FALSE
Amazon,NW001-TP-PJ-XXL,Set,XXL,1,INR,563,TIRUCHIRAPPALLI,TAMIL NADU,620101,IN,FALSE
Myntra,J0092-SET-S,Set,S,1,INR,833,BENGALURU,KARNATAKA,562107,IN,FALSE
Nalli,JNE3770-KR-S,kurta,S,1,INR,487,PUNE,MAHARASHTRA,411014,IN,FALSE
Myntra,JNE3703-KR-M,kurta,M,1,INR,292,VARANASI,UTTAR PRADESH,221010,IN,FALSE
Others,SET210-KR-PP-M,Set,M,1,INR,558,UDUPI,KARNATAKA,574118,IN,FALSE
Amazon,J0003-SET-M,Set,M,1,INR,664,HYDERABAD,TELANGANA,500039,IN,FALSE
Others,J0230-SKD-M,Set,M,1,INR,1112,Allahabad,UTTAR PRADESH,211001,IN,FALSE
Others,J0113-TP-S,Top,S,1,INR,540,SOUTH DELHI,DELHI,110017,IN,FALSE
Myntra,SET268-KR-NP-XS,Set,XS,1,INR,698,KHALILABAD,UTTAR PRADESH,272175,IN,FALSE
Others,J0004-SKD-XXL,Set,XXL,1,INR,1115,NEW DELHI,DELHI,110016,IN,FALSE
Meesho,SET209-KR-PP-XXL,Set,XXL,1,INR,507,HYDERABAD,TELANGANA,500008,IN,FALSE
Amazon,SET343-KR-NP-XS,Set,XS,1,INR,916,SULTANPUR,UTTAR PRADESH,228001,IN,FALSE
Amazon,SAR008,Saree,Free,1,INR,737,MURWARA KATNI,MADHYA PRADESH,483501,IN,FALSE
Flipkart,SET402-KR-NP-XXXL,Set,3XL,1,INR,988,MUMBAI,MAHARASHTRA,400063,IN,FALSE
Meesho,J0095-SET-XL,Set,XL,1,INR,633,CHENNAI,TAMIL NADU,600066,IN,FALSE
Amazon,SET348-KR-NP-M,Set,M,1,INR,899,MAHENDRAGARH,HARYANA,123029,IN,FALSE
Amazon,PJNE2100-KR-N-6XL,kurta,6XL,1,INR,764,BENGALURU,KARNATAKA,560103,IN,FALSE
Others,MEN5004-KR-XXXL,kurta,3XL,1,INR,688,CHENNAI,TAMIL NADU,600061,IN,FALSE
Amazon,JNE3567-KR-L,kurta,L,1,INR,399,Bangalore,KARNATAKA,560054,IN,FALSE
Myntra,JNE3568-KR-XL,kurta,XL,1,INR,399,KALYAN,MAHARASHTRA,421306,IN,FALSE
Myntra,J0090-TP-S,Top,S,1,INR,563,AHMEDABAD,GUJARAT,382470,IN,FALSE
Amazon,JNE3461-KR-XL,kurta,XL,1,INR,363,KOLKATA,WEST BENGAL,700028,IN,FALSE
Myntra,SET218-KR-NP-S,Set,S,1,INR,667,BOKARO STEEL CITY,JHARKHAND,827001,IN,FALSE
Myntra,SAR006,Saree,Free,1,INR,685,Panchkula,HARYANA,134116,IN,FALSE
Myntra,SET272-KR-PP-S,Set,S,1,INR,852,PUNE,MAHARASHTRA,411021,IN,FALSE
Amazon,SAR018,Saree,Free,1,INR,1075,PATNA,BIHAR,801113,IN,FALSE
Myntra,J0094-KR-XXL,kurta,XXL,1,INR,563,NEW DELHI,DELHI,110084,IN,FALSE
Flipkart,J0283-SET-XXL,Set,XXL,1,INR,1072,KALYAN,MAHARASHTRA,421201,IN,FALSE
Amazon,SET339-KR-NP-XS,Set,XS,1,INR,702,Bengaluru,KARNATAKA,560095,IN,FALSE
Nalli,SAR003,Saree,Free,1,INR,476,NAVI MUMBAI,MAHARASHTRA,400705,IN,FALSE
Myntra,SET324-KR-NP-XL,Set,XL,1,INR,597,BENGALURU,KARNATAKA,560021,IN,FALSE
Flipkart,SET403-KR-NP-XL,Set,XL,1,INR,969,VARKALA,KERALA,695141,IN,FALSE
Flipkart,J0349-SET-XS,Set,XS,1,INR,801,BIKANER,RAJASTHAN,334001,IN,FALSE
Myntra,JNE3560-KR-XL,kurta,XL,1,INR,481,GURUGRAM,HARYANA,122001,IN,FALSE
Ajio,NW034-TP-PJ-M,Set,M,1,INR,595,BHARUCH,GUJARAT,392001,IN,FALSE
Flipkart,JNE3518-KR-XXL,kurta,XXL,1,INR,458,MUMBAI,MAHARASHTRA,400097,IN,FALSE
Amazon,JNE3160-KR-M,kurta,M,1,INR,729,kolkata,WEST BENGAL,700082,IN,FALSE
Myntra,JNE3487-KR-M,kurta,M,1,INR,345,NOIDA,UTTAR PRADESH,201304,IN,FALSE
Flipkart,JNE3560-KR-M,kurta,M,1,INR,481,CHENNAI,TAMIL NADU,600077,IN,FALSE
Amazon,JNE3373-KR-S,kurta,S,1,INR,382,BHANDARA,MAHARASHTRA,441701,IN,FALSE
Amazon,SET377-KR-NP-XS,Set,XS,1,INR,1036,MUMBAI,MAHARASHTRA,400093,IN,FALSE
Myntra,JNE3620-KR-S,kurta,S,1,INR,322,NEW DELHI,DELHI,110084,IN,FALSE
Amazon,JNE3822-KR-L,kurta,L,1,INR,449,BHATKAL,KARNATAKA,581320,IN,FALSE
Amazon,SET184-KR-PP-L,Set,L,1,INR,573,MUMBAI,MAHARASHTRA,400098,IN,FALSE
Myntra,SET366-KR-NP-S,Set,S,1,INR,1163,RANCHI,JHARKHAND,834008,IN,FALSE
Flipkart,SET253-KR-NP-L,Set,L,1,INR,737,HYDERABAD,TELANGANA,500020,IN,FALSE
Flipkart,SET203-KR-DPT-L,Set,L,1,INR,429,CHENNAI,TAMIL NADU,600051,IN,FALSE
Myntra,JNE3368-KR-XL,kurta,XL,1,INR,471,VISAKHAPATNAM,ANDHRA PRADESH,530003,IN,FALSE
Amazon,SAR028,Saree,Free,1,INR,307,Perambra,KERALA,673524,IN,FALSE
Meesho,SET024-KR-SP-A-M,kurta,M,1,INR,631,GURUGRAM,HARYANA,122002,IN,FALSE
Amazon,JNE3794-KR-M,kurta,M,1,INR,517,HYDERABAD,TELANGANA,500090,IN,FALSE
Myntra,JNE3781-KR-S,kurta,S,1,INR,427,HAMIRPUR,HIMACHAL PRADESH,177005,IN,FALSE
Others,J0338-DR-S,Western Dress,S,1,INR,855,Nayagarh,ODISHA,752069,IN,FALSE
Flipkart,JNE3365-KR-1052-A-XXL,kurta,XXL,1,INR,376,BENGALURU,KARNATAKA,560075,IN,FALSE
Amazon,JNE3805-KR-L,kurta,L,1,INR,487,BENGALURU,KARNATAKA,562125,IN,FALSE
Myntra,SET319-KR-NP-M,Set,M,1,INR,852,NEW DELHI,DELHI,110034,IN,FALSE
Amazon,JNE3466-KR-XXL,kurta,XXL,1,INR,771,TIRUCHIRAPPALLI,TAMIL NADU,620017,IN,FALSE
Flipkart,JNE3805-KR-M,kurta,M,1,INR,487,PUDUVAYAL,TAMIL NADU,630108,IN,FALSE
Amazon,MEN5019-KR-XL,kurta,XL,1,INR,472,HYDERABAD,TELANGANA,500045,IN,FALSE
Amazon,SAR015,Saree,Free,1,INR,790,UDAIPUR,RAJASTHAN,313001,IN,FALSE
Amazon,JNE3794-KR-XS,kurta,XS,1,INR,517,PUDUCHERRY,PUDUCHERRY,605004,IN,FALSE
Flipkart,SET135-KR-PP-XXXL,Set,3XL,1,INR,646,GREATER NOIDA,UTTAR PRADESH,201310,IN,FALSE
Amazon,J0338-DR-XL,Western Dress,XL,1,INR,743,SECUNDERABAD,TELANGANA,500011,IN,FALSE
Myntra,JNE2251-KR-537-XXL,kurta,XXL,1,INR,399,new delhi,DELHI,110063,IN,FALSE
Flipkart,SET272-KR-PP-M,Set,M,1,INR,852,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE
Flipkart,SET197-KR-NP-M,Set,M,1,INR,759,MYSURU,KARNATAKA,570034,IN,FALSE
Nalli,J0301-TP-XL,Top,XL,1,INR,493,NEW DELHI,DELHI,110059,IN,FALSE
Amazon,JNE3518-KR-XXL,kurta,XXL,1,INR,458,JAIPUR,RAJASTHAN,303002,IN,FALSE
Amazon,JNE3405-KR-M,kurta,M,1,INR,435,BIDAR,KARNATAKA,585401,IN,FALSE
Amazon,SET251-KR-PP-XS,Set,XS,1,INR,759,BABUGARH,UTTAR PRADESH,245201,IN,FALSE
Myntra,SET282-KR-PP-L,Set,L,1,INR,1043,THANE,MAHARASHTRA,400606,IN,FALSE
Myntra,SET268-KR-NP-M,Set,M,1,INR,698,UDAIPUR,RAJASTHAN,313001,IN,FALSE
Flipkart,JNE3648-TP-N-S,Top,S,1,INR,518,DOHAD,GUJARAT,389151,IN,FALSE
Myntra,J0308-DR-XXL,Western Dress,XXL,1,INR,625,Barasat,WEST BENGAL,700124,IN,FALSE
Flipkart,MEN5026-KR-XXXL,kurta,3XL,1,INR,499,INDORE,MADHYA PRADESH,452001,IN,FALSE
Myntra,JNE3642-TP-XS,Top,XS,1,INR,321,MUMBAI,MAHARASHTRA,400053,IN,FALSE
Nalli,SET229-KR-PP-XS,Set,XS,1,INR,845,NAGAUR,RAJASTHAN,341305,IN,FALSE
Amazon,J0132-KR-XS,kurta,XS,1,INR,358,NEW DELHI,DELHI,110085,IN,FALSE
Flipkart,JNE1234-MULTI-KR-032-XL,kurta,XL,1,INR,307,Coimbatore,TAMIL NADU,641031,IN,FALSE
Ajio,PJNE3068-KR-6XL,kurta,6XL,1,INR,692,NAVI MUMBAI,MAHARASHTRA,400701,IN,FALSE
Ajio,SET313-KR-NP-XS,Set,XS,1,INR,1099,NEW DELHI,DELHI,110003,IN,FALSE
Myntra,SET282-KR-PP-M,Set,M,1,INR,1033,BARASAT,WEST BENGAL,700124,IN,FALSE
Myntra,JNE1525-KR-UDF19BLACK-XS,kurta,XS,1,INR,301,COIMBATORE,TAMIL NADU,641027,IN,FALSE
Myntra,JNE3691-TU-L,Top,L,1,INR,625,RANCHI,JHARKHAND,834002,IN,FALSE
Myntra,JNE3399-KR-M,kurta,M,1,INR,435,SANGAREDDY,TELANGANA,502001,IN,FALSE
Amazon,JNE3790-KR-XXXL,kurta,3XL,1,INR,307,PUNE,MAHARASHTRA,411041,IN,FALSE
Amazon,SET268-KR-NP-L,Set,L,1,INR,788,Buxar,BIHAR,802133,IN,FALSE
Amazon,SET393-KR-NP-M,Set,M,1,INR,999,KANJIKODE INDUSTRIAL AREA,KERALA,678623,IN,FALSE
Amazon,J0329-KR-XS,kurta,XS,1,INR,852,HYDERABAD,TELANGANA,508126,IN,FALSE
Amazon,SET397-KR-NP  -M,Set,M,1,INR,999,ALLAHABAD,UTTAR PRADESH,211002,IN,FALSE
Amazon,J0008-SKD-M,Set,M,1,INR,1075,DIU,DADRA AND NAGAR,362520,IN,FALSE
Amazon,SET320-KR-NP-S,Set,S,1,INR,845,PATNA,BIHAR,801505,IN,FALSE
Myntra,J0003-SET-S,Set,S,1,INR,664,Yacharam,TELANGANA,501509,IN,FALSE
Flipkart,SET304-KR-DPT-M,Set,M,1,INR,1186,Kannur,KERALA,670304,IN,FALSE
Meesho,J0382-SKD-XXL,Set,XXL,1,INR,1258,Port blair,ANDAMAN & NICOBAR ,744103,IN,FALSE
Amazon,JNE3405-KR-XXL,kurta,XXL,1,INR,399,MUZAFFARNAGAR,UTTAR PRADESH,251001,IN,FALSE
Amazon,JNE3797-KR-A-M,Western Dress,M,1,INR,771,MANMAD,MAHARASHTRA,423104,IN,FALSE
Amazon,JNE3611-KR-XXL,kurta,XXL,1,INR,459,SURYAPET,TELANGANA,508213,IN,FALSE
Amazon,JNE3546-KR-L,kurta,L,1,INR,468,BENGALURU,KARNATAKA,560100,IN,FALSE
Flipkart,MEN5007-KR-L,kurta,L,1,INR,475,PIMPRI CHINCHWAD,MAHARASHTRA,411033,IN,FALSE
Flipkart,SET333-KR-DPT-M,Set,M,1,INR,967,Kollam,KERALA,691601,IN,FALSE
Flipkart,JNE3860-DR-L,Western Dress,L,1,INR,614,BENGALURU,KARNATAKA,560099,IN,FALSE
Amazon,SET268-KR-NP-L,Set,L,1,INR,788,Vadodara,GUJARAT,390024,IN,FALSE
Nalli,J0382-SKD-XS,Set,XS,1,INR,1173,BENGALURU,KARNATAKA,560004,IN,FALSE
Amazon,J0112-TP-M,Top,M,1,INR,359,lucknow,UTTAR PRADESH,226010,IN,FALSE
Nalli,J0201-TP-S,Top,S,1,INR,625,SECUNDERABAD,TELANGANA,500017,IN,FALSE
Amazon,SET377-KR-NP-S,Set,S,1,INR,1238,JAIPUR,RAJASTHAN,302017,IN,FALSE
Amazon,SET321-KR-DPT-XXL,Set,XXL,1,INR,927,LUCKNOW,UTTAR PRADESH,226021,IN,FALSE
Amazon,JNE3510-KR-XL,kurta,XL,1,INR,424,GURUGRAM,HARYANA,122001,IN,FALSE
Myntra,J0333-DR-L,Western Dress,L,1,INR,825,BENGALURU,KARNATAKA,560067,IN,FALSE
Amazon,SET328-KR-NP-L,Set,L,1,INR,545,BENGALURU,KARNATAKA,560037,IN,FALSE
Amazon,J0134-SET-XL,Set,XL,1,INR,729,PUNE,MAHARASHTRA,412207,IN,FALSE
Myntra,J0088-TP-S,Top,S,1,INR,497,ERNAKULAM,KERALA,682017,IN,FALSE
Myntra,JNE3905-DR-M,Western Dress,M,1,INR,625,MUMBAI,MAHARASHTRA,400078,IN,FALSE
Myntra,JNE3693-KR-S,kurta,S,1,INR,319,HARIDWAR,UTTARAKHAND,249405,IN,FALSE
Myntra,SAR002,Saree,Free,1,INR,729,MAHNAR BAZAR,BIHAR,844506,IN,FALSE
Flipkart,SAR029,Saree,Free,1,INR,365,LALITPUR,UTTAR PRADESH,284403,IN,FALSE
Ajio,BL113-XXL,Blouse,XXL,1,INR,563,BELAGAVI,KARNATAKA,590019,IN,FALSE
Others,JNE3405-KR-L,kurta,L,1,INR,399,NEW DELHI,DELHI,110067,IN,FALSE
Flipkart,SET359-KR-NP-S,Set,S,1,INR,899,HYDERABAD,TELANGANA,500049,IN,FALSE
Meesho,NW020-ST-SR-XS,Set,XS,1,INR,525,BENGALURU,KARNATAKA,560025,IN,FALSE
Amazon,JNE3475-KR-K-XL,kurta,XL,1,INR,323,CHENNAI,TAMIL NADU,600014,IN,FALSE
Ajio,J0012-SKD-L,Set,L,1,INR,1137,AHMEDABAD,GUJARAT,380002,IN,FALSE
Amazon,JNE3313-KR-XXL,kurta,XXL,1,INR,582,SECUNDERABAD,TELANGANA,500056,IN,FALSE
Others,J0108-SKD-XL,Set,XL,1,INR,1083,MOHALI,PUNJAB,140307,IN,FALSE
Flipkart,SET375-KR-NP-S,Set,S,1,INR,696,PUNE,MAHARASHTRA,411028,IN,FALSE
Myntra,J0341-DR-XXL,Western Dress,XXL,1,INR,842,HYDERABAD,TELANGANA,500089,IN,FALSE
Myntra,SET355-KR-PP-XXL,Set,XXL,1,INR,1229,KANPUR,UTTAR PRADESH,208011,IN,FALSE
Myntra,SET268-KR-NP-XL,Set,XL,1,INR,698,Hyderabad,TELANGANA,500034,IN,FALSE
Myntra,JNE3568-KR-XL,kurta,XL,1,INR,435,MEERUT,UTTAR PRADESH,250001,IN,FALSE
Nalli,J0285-SKD-L,Set,L,1,INR,1442,COIMBATORE,TAMIL NADU,641018,IN,FALSE
Others,J0005-DR-XL,Western Dress,XL,1,INR,899,HYDERABAD,TELANGANA,500028,IN,FALSE
Myntra,SET374-KR-NP-L,Set,L,1,INR,597,UDAIPUR,RAJASTHAN,313001,IN,FALSE
Flipkart,J0164-DR-S,Ethnic Dress,S,1,INR,362,Kolkata,WEST BENGAL,700033,IN,FALSE
Amazon,JNE3515-KR-XXXL,kurta,3XL,1,INR,453,HYDERABAD,TELANGANA,500020,IN,FALSE
Myntra,SET350-KR-NP-XXL,Set,XXL,1,INR,1299,Mumbai,MAHARASHTRA,400060,IN,FALSE
Others,J0230-SKD-XL,Set,XL,1,INR,969,DIBRUGARH,ASSAM,786001,IN,FALSE
Flipkart,J0373-KR-XXXL,kurta,3XL,1,INR,558,NUZVID,ANDHRA PRADESH,521201,IN,FALSE
Myntra,JNE3806-KR-XXXL,kurta,3XL,1,INR,545,KOLHAPUR,MAHARASHTRA,416003,IN,FALSE
Flipkart,JNE3463-KR-L,kurta,L,1,INR,561,CHENNAI,TAMIL NADU,600087,IN,FALSE
Myntra,JNE3797-KR-XXXL,Western Dress,3XL,1,INR,735,HYDERABAD,TELANGANA,500013,IN,FALSE
Myntra,J0104-KR-XS,kurta,XS,1,INR,446,KOZHIKODE,KERALA,673580,IN,FALSE
Amazon,SET348-KR-NP-XXXL,Set,3XL,1,INR,882,JAIPUR,RAJASTHAN,302021,IN,FALSE
Flipkart,J0230-SKD-XXL,Set,XXL,1,INR,1163,MUMBAI,MAHARASHTRA,400074,IN,FALSE
Others,J0002-SKD-XXL,Set,XXL,1,INR,1125,KOLKATA,WEST BENGAL,700021,IN,FALSE
Amazon,JNE3708-TU-L,Top,L,1,INR,690,NEW DELHI,DELHI,110025,IN,FALSE
Flipkart,NW003-TP-PJ-XL,Set,XL,1,INR,495,AURANGABAD,MAHARASHTRA,431001,IN,FALSE
Flipkart,JNE3440-KR-N-XXXL,kurta,3XL,1,INR,422,HYDERABAD,TELANGANA,500085,IN,FALSE
Amazon,JNE3423-KR-L,kurta,L,1,INR,399,CHHAPI,GUJARAT,385210,IN,FALSE
Myntra,JNE3568-KR-XXL,kurta,XXL,1,INR,399,Adilabad,TELANGANA,504001,IN,FALSE
Myntra,SET397-KR-NP-XS,Set,XS,1,INR,969,HYDERABAD,TELANGANA,500037,IN,FALSE
Flipkart,J0348-SET-M,Set,M,1,INR,499,NOIDA,UTTAR PRADESH,201309,IN,FALSE
Ajio,PJNE3068-KR-4XL,kurta,4XL,1,INR,692,LUCKNOW,UTTAR PRADESH,226001,IN,FALSE
Myntra,J0301-TP-XXL,Top,XXL,1,INR,464,NOIDA,UTTAR PRADESH,201301,IN,FALSE
Meesho,SET332-KR-PP-S,Set,S,1,INR,525,TUNI,ANDHRA PRADESH,533401,IN,FALSE
Meesho,SET268-KR-NP-L,Set,L,1,INR,788,Solapur,MAHARASHTRA,413004,IN,FALSE
Myntra,SET277-KR-NP-M,Set,M,1,INR,1268,HYDERABAD,TELANGANA,501505,IN,FALSE
Flipkart,SET219-KR-PP-XXXL,Set,3XL,1,INR,635,GWALIOR,MADHYA PRADESH,474001,IN,FALSE
Meesho,JNE3522-KR-L,kurta,L,1,INR,342,HYDERABAD,TELANGANA,500072,IN,FALSE
Myntra,SAR002,Saree,Free,1,INR,630,Chennai,TAMIL NADU,600063,IN,FALSE
Amazon,J0297-TP-M,Top,M,1,INR,574,SINGTAM,SIKKIM,737134,IN,FALSE
Flipkart,SET345-KR-NP-S,Set,S,1,INR,635,KOTTAYAM,KERALA,686002,IN,FALSE
Myntra,SET291-KR-PP-S,Set,S,1,INR,579,VASCO DA GAMA,GOA,403726,IN,FALSE
Myntra,JNE3607-KR-XS,kurta,XS,1,INR,417,ITANAGAR,ARUNACHAL PRADESH,791111,IN,FALSE
Amazon,J0003-SET-XXXL,Set,3XL,1,INR,655,ROORKEE,UTTARAKHAND,247667,IN,FALSE
Ajio,SET339-KR-NP-M,Set,M,1,INR,688,GURUGRAM,HARYANA,122001,IN,FALSE
Myntra,J0203-TP-XS,Top,XS,1,INR,568,HYDERABAD,TELANGANA,500059,IN,FALSE
Amazon,SAR001,Saree,Free,1,INR,1176,BENGALURU,KARNATAKA,560064,IN,FALSE
Nalli,SET374-KR-NP-XL,Set,XL,1,INR,635,AJMER,RAJASTHAN,305005,IN,FALSE
Others,J0094-KR-XL,kurta,XL,1,INR,568,MUMBAI,MAHARASHTRA,400053,IN,FALSE
Others,SET401-KR-NP-M,Set,M,1,INR,1186,HYDERABAD,TELANGANA,500055,IN,FALSE
Myntra,SET224-KR-NP-XXXL,Set,3XL,1,INR,1098,BENGALURU,KARNATAKA,560034,IN,FALSE
Others,SET293-KR-NP-XL,Set,XL,1,INR,692,BENGALURU,KARNATAKA,560027,IN,FALSE
Others,PJNE3068-KR-4XL,kurta,4XL,1,INR,1043,KALYAN,MAHARASHTRA,421306,IN,FALSE
Amazon,JNE3425-KR-L,kurta,L,1,INR,356,BENGALURU,KARNATAKA,560050,IN,FALSE
Nalli,SET349-KR-NP-S,Set,S,1,INR,1093,GUNTUR,ANDHRA PRADESH,522019,IN,FALSE
Amazon,SET183-KR-DH-M,Set,M,1,INR,759,PARGI,TELANGANA,501501,IN,FALSE
Ajio,JNE3566-KR-XL,kurta,XL,1,INR,368,THRISSUR,KERALA,680022,IN,FALSE
Amazon,J0341-DR-XL,Western Dress,XL,1,INR,744,Kolkata,WEST BENGAL,700051,IN,FALSE
Myntra,SAR027,Saree,Free,1,INR,597,INDORE,MADHYA PRADESH,452001,IN,FALSE
Amazon,J0137-SET-XXL,Set,XXL,1,INR,721,CHENNAI,TAMIL NADU,600092,IN,FALSE
Amazon,JNE3252-KR-XXXL,kurta,3XL,1,INR,479,Kozikode,KERALA,673012,IN,FALSE
Amazon,J0354-KR-M,kurta,M,1,INR,635,HYDERABAD,TELANGANA,500084,IN,FALSE
Amazon,SET374-KR-NP-XS,Set,XS,1,INR,589,THUMBE,KARNATAKA,574143,IN,FALSE
Others,SET144-KR-NP-S,Set,S,1,INR,788,JALANDHAR,PUNJAB,144005,IN,FALSE
Amazon,MEN5032-KR-XXXL,kurta,3XL,1,INR,811,GURUGRAM,HARYANA,122009,IN,FALSE
Myntra,MEN5025-KR-S,kurta,S,1,INR,547,PATNA,BIHAR,801505,IN,FALSE
Myntra,MEN5026-KR-XXL,kurta,XXL,1,INR,495,Gurgaon,HARYANA,122009,IN,FALSE
Ajio,JNE3672-TU-L,Top,L,1,INR,574,Bangalore,KARNATAKA,560068,IN,FALSE
Myntra,J0346-SET-XS,Set,XS,1,INR,474,MUMBAI,MAHARASHTRA,400007,IN,FALSE
Amazon,J0013-SKD-L,Set,L,1,INR,1099,MUMBAI,MAHARASHTRA,400076,IN,FALSE
Myntra,SET282-KR-PP-M,Set,M,1,INR,1099,KAITHAL,HARYANA,136027,IN,FALSE
Amazon,J0003-SET-XXXL,Set,3XL,1,INR,654,vikarabad,TELANGANA,501101,IN,FALSE
Amazon,MEN5027-KR-XXL,kurta,XXL,1,INR,606,BENGALURU,KARNATAKA,560100,IN,FALSE
Amazon,SET062-KR-SP-XXXL,Set,3XL,1,INR,684,KANNUR,KERALA,670005,IN,FALSE
Amazon,SET287-KR-NP-M,Set,M,1,INR,542,TADONG,SIKKIM,737102,IN,FALSE
Nalli,NW014-ST-SR-M,Set,M,1,INR,560,NAGPUR,MAHARASHTRA,440033,IN,FALSE
Amazon,NW037-TP-SR-XL,Set,XL,1,INR,449,HYDERABAD,TELANGANA,500084,IN,FALSE
Ajio,PJ0096-KR-N-6XL,kurta,6XL,1,INR,1039,HYDERABAD,TELANGANA,500081,IN,FALSE
